surah,ayah,word_idx,reciter,frac_of_ayah,median_frac,z
84,15,1,Hani_Rifai_192kbps,0.06513,0.17980,3.30
83,34,5,Alafasy_128kbps,0.40809,0.25794,3.30
82,18,5,Minshawy_Murattal_128kbps,0.11307,0.23280,3.30
96,19,0,Minshawy_Murattal_128kbps,0.28000,0.20898,3.29
83,26,5,Alafasy_128kbps,0.39027,0.27874,3.29
90,1,0,Husary_64kbps,0.30972,0.10812,3.28
88,13,1,Minshawy_Murattal_128kbps,0.20270,0.38937,3.28
89,20,3,Mohammad_al_Tablaway_128kbps,0.13986,0.27470,3.28
90,8,1,Saood_ash-Shuraym_128kbps,0.39720,0.26951,3.27
114,5,2,Alafasy_128kbps,0.04793,0.07721,3.27
83,4,0,Hani_Rifai_192kbps,0.10496,0.06761,3.26
114,1,1,Alafasy_128kbps,0.14038,0.20852,3.26
83,8,0,Saood_ash-Shuraym_128kbps,0.44033,0.30173,3.26
91,3,1,Hani_Rifai_192kbps,0.22442,0.16728,3.25
81,23,3,Mohammad_al_Tablaway_128kbps,0.41682,0.29625,3.25
109,4,4,Saood_ash-Shuraym_128kbps,0.32249,0.24137,3.24
87,17,1,Hani_Rifai_192kbps,0.14722,0.31162,3.24
90,8,1,Alafasy_128kbps,0.14315,0.26951,3.24
85,12,0,Abu_Bakr_Ash-Shaatree_128kbps,0.32161,0.23704,3.23
89,7,2,Alafasy_128kbps,0.35135,0.51172,3.23
89,23,0,Saood_ash-Shuraym_128kbps,0.07369,0.12787,3.22
102,3,0,Alafasy_128kbps,0.16702,0.24191,3.22
106,4,3,Alafasy_128kbps,0.08391,0.13860,3.22
87,16,0,Abdul_Basit_Murattal_64kbps,0.04545,0.08724,3.21
114,1,0,Minshawy_Murattal_128kbps,0.10094,0.06901,3.21
82,19,7,Hani_Rifai_192kbps,0.20246,0.13169,3.20
87,7,1,Husary_64kbps,0.05461,0.04151,3.20
84,16,0,Minshawy_Murattal_128kbps,0.05122,0.36368,3.19
87,13,0,Alafasy_128kbps,0.28790,0.20923,3.19
